Variables,Values,Ambient,Diffuse,Offshore,Transition
NN,0.08,0.08,NA,0.08,NA
NN,0.09,0.09,NA,0.09,NA
NN,0.1,0.1,NA,0.1,NA
NN,0.11,0.11,NA,NA,NA
NN,0.12,0.12,0.12,NA,NA
NN,0.13,0.13,0.13,0.13,NA
NN,0.14,0.14,0.14,NA,NA
NN,0.15,0.15,0.15,NA,NA
NN,0.16,0.16,0.16,NA,NA
NN,0.17,0.17,0.17,NA,0.17
NN,0.18,0.18,0.18,NA,NA
NN,0.19,0.19,0.19,NA,0.19
NN,0.2,0.2,0.2,0.2,NA
NN,0.21,0.21,0.21,NA,0.21
NN,0.25,0.25,0.25,NA,0.25
NN,0.26,0.26,0.26,NA,NA
NN,0.27,0.27,NA,NA,0.27
NN,0.76,0.76,NA,NA,0.76
Phosphate,0.06,0.06,0.06,NA,NA
Phosphate,0.07,0.07,0.07,NA,0.07
Phosphate,0.08,0.08,0.08,NA,0.08
Phosphate,0.09,0.09,0.09,NA,0.09
Phosphate,0.1,0.1,0.1,NA,0.1
Phosphate,0.11,0.11,0.11,NA,0.11
Phosphate,0.12,0.12,0.12,0.12,0.12
Phosphate,0.13,0.13,0.13,0.13,NA
Phosphate,0.14,0.14,NA,0.14,NA
Phosphate,0.15,0.15,0.15,NA,0.15
Salinity,34.47636764,34.47636764,NA,NA,NA
Salinity,34.55635501,34.55635501,NA,NA,NA
Salinity,34.557234,34.557234,NA,NA,NA
Salinity,34.56074992,34.56074992,NA,NA,NA
Salinity,34.56558433,34.56558433,NA,NA,NA
Salinity,34.57085822,34.57085822,NA,NA,NA
Salinity,34.5717372,34.5717372,NA,NA,NA
Salinity,34.57613211,34.57613211,NA,NA,NA
Salinity,34.5765716,34.5765716,NA,NA,NA
Salinity,34.57789008,34.57789008,34.57789008,NA,NA
Salinity,34.57832957,34.57832957,34.57832957,NA,NA
Salinity,34.581406,34.581406,NA,NA,NA
Salinity,34.58448244,34.58448244,NA,34.58448244,NA
Salinity,34.58536142,34.58536142,NA,NA,NA
Salinity,34.58799837,34.58799837,NA,NA,NA
Salinity,34.58843786,34.58843786,NA,NA,NA
Salinity,34.59019583,34.59019583,NA,NA,NA
Salinity,34.59107481,34.59107481,NA,NA,NA
Salinity,34.5915143,34.5915143,NA,NA,NA
Salinity,34.59195379,34.59195379,NA,NA,NA
Salinity,34.59327226,34.59327226,NA,NA,NA
Salinity,34.5963487,34.5963487,NA,NA,NA
Salinity,34.59678819,34.59678819,NA,NA,NA
Salinity,34.59722768,34.59722768,NA,NA,NA
Salinity,34.59766717,34.59766717,NA,NA,NA
Salinity,34.59854616,34.59854616,NA,NA,NA
Salinity,34.59898565,34.59898565,NA,NA,NA
Salinity,34.59942514,34.59942514,NA,NA,NA
Salinity,34.6011831,34.6011831,NA,NA,NA
Salinity,34.60162259,34.60162259,NA,NA,NA
Salinity,34.60250158,34.60250158,NA,NA,NA
Salinity,34.60294107,34.60294107,NA,NA,NA
Salinity,34.60382005,34.60382005,NA,NA,NA
Salinity,34.60425954,34.60425954,NA,NA,NA
Salinity,34.60557801,34.60557801,NA,NA,NA
Salinity,34.6060175,34.6060175,NA,NA,NA
Salinity,34.60689649,34.60689649,NA,NA,NA
Salinity,34.60733598,34.60733598,NA,NA,NA
Salinity,34.60821496,34.60821496,NA,NA,NA
Salinity,34.60865445,34.60865445,NA,NA,NA
Salinity,34.60909394,34.60909394,NA,NA,NA
Salinity,34.60953343,34.60953343,NA,34.60953343,NA
Salinity,34.6112914,34.6112914,NA,NA,NA
Salinity,34.61173089,34.61173089,NA,NA,NA
Salinity,34.61304936,34.61304936,NA,NA,NA
Salinity,34.61348885,34.61348885,NA,34.61348885,NA
Salinity,34.61480733,34.61480733,NA,NA,NA
Salinity,34.61700478,34.61700478,NA,NA,NA
Salinity,34.61788376,34.61788376,NA,NA,NA
Salinity,34.61964173,34.61964173,NA,NA,NA
Salinity,34.63018951,34.63018951,NA,NA,NA
Salinity,34.6359029,34.6359029,NA,NA,NA
Silicate,1.03,1.03,NA,NA,NA
Silicate,1.16,1.16,NA,NA,NA
Silicate,1.4,1.4,NA,NA,NA
Silicate,1.44,1.44,NA,NA,NA
Silicate,1.46,1.46,NA,NA,NA
Silicate,1.51,1.51,NA,NA,NA
Silicate,1.54,1.54,NA,1.54,NA
Silicate,1.55,1.55,NA,NA,NA
Silicate,1.58,1.58,NA,NA,NA
Silicate,1.59,1.59,NA,NA,NA
Silicate,1.63,1.63,NA,1.63,NA
Silicate,1.64,1.64,NA,NA,NA
Silicate,1.65,1.65,NA,NA,NA
Silicate,1.66,1.66,NA,NA,NA
Silicate,1.68,1.68,NA,NA,NA
Silicate,1.69,1.69,NA,NA,NA
Silicate,1.71,1.71,NA,NA,NA
Silicate,1.72,1.72,NA,NA,NA
Silicate,1.75,1.75,NA,NA,NA
Silicate,1.76,1.76,NA,NA,NA
Silicate,1.78,1.78,NA,NA,NA
Silicate,1.79,1.79,NA,NA,NA
Silicate,1.81,1.81,NA,NA,NA
Silicate,1.82,1.82,NA,NA,NA
Silicate,1.86,1.86,NA,NA,NA
Silicate,1.87,1.87,NA,NA,NA
Silicate,1.88,1.88,NA,NA,NA
Silicate,1.9,1.9,NA,NA,NA
Silicate,1.91,1.91,NA,NA,NA
Silicate,1.92,1.92,NA,NA,NA
Silicate,1.93,1.93,NA,NA,NA
Silicate,2,2,NA,NA,NA
Silicate,2.03,2.03,NA,NA,NA
Silicate,2.04,2.04,NA,NA,NA
Silicate,2.05,2.05,NA,NA,NA
Silicate,2.07,2.07,NA,NA,NA
Silicate,2.11,2.11,NA,NA,NA
Silicate,2.12,2.12,NA,NA,NA
Silicate,2.18,2.18,NA,NA,NA
Silicate,2.2,2.2,NA,2.2,NA
Silicate,2.27,2.27,NA,NA,NA
Silicate,2.34,2.34,2.34,NA,NA
Silicate,2.35,2.35,2.35,NA,NA
Silicate,2.38,2.38,NA,NA,NA
Silicate,2.39,2.39,NA,NA,NA
Silicate,2.49,2.49,NA,NA,NA
Silicate,2.51,2.51,NA,NA,NA
Silicate,2.63,2.63,NA,NA,NA
Silicate,2.74,2.74,NA,NA,NA
Silicate,2.82,2.82,NA,NA,NA
Silicate,2.84,2.84,NA,NA,NA
Silicate,4.66,4.66,NA,NA,NA
TA,2204.133771,2204.133771,NA,NA,NA
TA,2216.418806,2216.418806,NA,NA,NA
TA,2220.377584,2220.377584,NA,NA,NA
TA,2221.496044,2221.496044,NA,NA,NA
TA,2225.157422,2225.157422,NA,NA,NA
TA,2231.773561,2231.773561,NA,NA,NA
TA,2235.314033,2235.314033,NA,NA,NA
TA,2235.94711,2235.94711,NA,NA,NA
TA,2238.606606,2238.606606,NA,NA,NA
TA,2238.72427,2238.72427,NA,NA,NA
TA,2242.05194,2242.05194,NA,NA,NA
TA,2242.445381,2242.445381,NA,NA,NA
TA,2243.843064,2243.843064,NA,NA,NA
TA,2244.10175,2244.10175,NA,NA,NA
TA,2244.502057,2244.502057,NA,NA,NA
TA,2244.596967,2244.596967,NA,NA,NA
TA,2246.937582,2246.937582,NA,NA,NA
TA,2247.471323,2247.471323,NA,NA,NA
TA,2247.691473,2247.691473,NA,NA,NA
TA,2248.010876,2248.010876,NA,NA,NA
TA,2248.438919,2248.438919,NA,NA,NA
TA,2248.676797,2248.676797,NA,NA,NA
TA,2248.792728,2248.792728,NA,NA,NA
TA,2249.929778,2249.929778,NA,NA,NA
TA,2253.449673,2253.449673,NA,NA,NA
TA,2254.568475,2254.568475,NA,NA,NA
TA,2254.998379,2254.998379,NA,NA,NA
TA,2255.282957,2255.282957,NA,NA,NA
TA,2257.582582,2257.582582,NA,NA,NA
TA,2258.364848,2258.364848,NA,NA,NA
TA,2259.577353,2259.577353,NA,NA,NA
TA,2259.753937,2259.753937,NA,NA,NA
TA,2260.206592,2260.206592,NA,NA,NA
TA,2260.598828,2260.598828,NA,NA,NA
TA,2261.428824,2261.428824,NA,NA,NA
TA,2263.320386,2263.320386,NA,NA,NA
TA,2263.358534,2263.358534,NA,NA,NA
TA,2263.444971,2263.444971,NA,NA,NA
TA,2263.827588,2263.827588,NA,NA,NA
TA,2264.389536,2264.389536,NA,NA,NA
TA,2265.104985,2265.104985,NA,NA,NA
TA,2266.405711,2266.405711,NA,NA,NA
TA,2266.47176,2266.47176,NA,NA,NA
TA,2268.266354,2268.266354,NA,NA,NA
TA,2268.419106,2268.419106,NA,NA,NA
TA,2268.553037,2268.553037,NA,NA,NA
TA,2268.841999,2268.841999,NA,NA,NA
TA,2273.234331,2273.234331,NA,NA,NA
TA,2274.630462,2274.630462,NA,NA,NA
TA,2275.456662,2275.456662,NA,NA,NA
TA,2277.045233,2277.045233,NA,NA,NA
TA,2278.298318,2278.298318,NA,NA,NA
TA,2278.998271,2278.998271,NA,NA,NA
TA,2281.690363,2281.690363,NA,NA,NA
TA,2281.7078,2281.7078,NA,NA,NA
TA,2283.21026,2283.21026,NA,NA,NA
TA,2283.721685,2283.721685,NA,NA,NA
TA,2288.673354,2288.673354,NA,NA,NA
TA,2288.770164,2288.770164,NA,NA,NA
TA,2294.263212,2294.263212,NA,NA,NA
TA,2295.329722,2295.329722,NA,NA,NA
TA,2304.665708,2304.665708,NA,NA,NA
TA,2309.947719,2309.947719,NA,NA,NA
Temp_in,23.72369608,23.72369608,NA,NA,NA
Temp_in,23.85659446,23.85659446,NA,NA,NA
Temp_in,23.87478944,23.87478944,NA,NA,NA
Temp_in,23.89699277,23.89699277,NA,NA,NA
Temp_in,23.90270436,23.90270436,NA,NA,NA
Temp_in,23.91871166,23.91871166,NA,NA,NA
Temp_in,23.96962105,23.96962105,NA,NA,NA
Temp_in,24.04954757,24.04954757,NA,NA,NA
Temp_in,24.06194201,24.06194201,NA,NA,NA
Temp_in,24.10860383,24.10860383,NA,NA,NA
Temp_in,24.25437307,24.25437307,NA,NA,NA
Temp_in,24.26640693,24.26640693,NA,NA,NA
Temp_in,24.27209963,24.27209963,NA,NA,NA
Temp_in,24.28645788,24.28645788,NA,NA,NA
Temp_in,24.31659874,24.31659874,NA,NA,NA
Temp_in,24.50119932,24.50119932,NA,NA,NA
Temp_in,24.51562606,24.51562606,NA,NA,NA
Temp_in,24.52336819,24.52336819,NA,NA,NA
Temp_in,24.56946139,24.56946139,NA,NA,NA
Temp_in,24.76463798,24.76463798,NA,NA,NA
Temp_in,24.77369034,24.77369034,NA,NA,NA
Temp_in,24.97791928,24.97791928,NA,NA,NA
Temp_in,25.02807664,25.02807664,NA,NA,NA
Temp_in,25.24803637,25.24803637,NA,NA,NA
Temp_in,25.31753883,25.31753883,NA,NA,NA
Temp_in,25.52240571,25.52240571,NA,NA,NA
Temp_in,25.54394564,25.54394564,NA,NA,NA
Temp_in,25.57611959,25.57611959,NA,NA,NA
Temp_in,25.63735834,25.63735834,NA,NA,NA
Temp_in,25.64365472,25.64365472,NA,NA,NA
Temp_in,25.65576359,25.65576359,NA,NA,NA
Temp_in,25.71026052,25.71026052,NA,NA,NA
Temp_in,25.72976343,25.72976343,NA,NA,NA
Temp_in,25.82313164,25.82313164,NA,NA,NA
Temp_in,25.8971684,25.8971684,NA,NA,NA
Temp_in,25.90139646,25.90139646,NA,NA,NA
Temp_in,25.91379523,25.91379523,NA,NA,NA
Temp_in,26.14198803,26.14198803,NA,NA,NA
Temp_in,26.1885656,26.1885656,NA,NA,NA
Temp_in,26.37324359,26.37324359,NA,NA,NA
Temp_in,26.38784991,26.38784991,NA,NA,NA
Temp_in,26.45559787,26.45559787,NA,NA,NA
Temp_in,26.48281306,26.48281306,NA,NA,NA
Temp_in,26.52661899,26.52661899,NA,NA,NA
Temp_in,26.73234029,26.73234029,NA,NA,NA
Temp_in,26.76743323,26.76743323,NA,NA,NA
Temp_in,26.7705343,26.7705343,NA,NA,NA
Temp_in,26.78095108,26.78095108,NA,NA,NA
Temp_in,26.82956186,26.82956186,NA,NA,NA
Temp_in,26.93993178,26.93993178,NA,NA,NA
Temp_in,27.00824746,27.00824746,NA,NA,NA
Temp_in,27.22096664,27.22096664,NA,NA,NA
Temp_in,27.34219822,27.34219822,NA,NA,NA
Temp_in,27.39999941,27.39999941,NA,NA,NA
Temp_in,27.40983169,27.40983169,NA,NA,NA
Temp_in,27.43287305,27.43287305,NA,NA,NA
Temp_in,27.50769411,27.50769411,NA,NA,NA
Temp_in,27.68477446,27.68477446,NA,NA,NA
Temp_in,27.8797316,27.8797316,NA,NA,NA
Temp_in,27.94864676,27.94864676,NA,NA,NA
Temp_in,28.49729411,28.49729411,NA,NA,NA
pH,7.852,7.852,NA,NA,NA
pH,7.893,7.893,NA,NA,NA
pH,7.918,7.918,NA,NA,NA
pH,7.924,7.924,7.924,NA,NA
pH,7.925,7.925,NA,NA,NA
pH,7.926,7.926,NA,NA,NA
pH,7.933,7.933,7.933,7.933,NA
pH,7.934,7.934,7.934,NA,NA
pH,7.936,7.936,NA,NA,NA
pH,7.938,7.938,NA,NA,NA
pH,7.942,7.942,NA,NA,NA
pH,7.945,7.945,NA,NA,NA
pH,7.947,7.947,7.947,NA,NA
pH,7.95,7.95,NA,NA,NA
pH,7.951,7.951,NA,NA,NA
pH,7.957,7.957,NA,NA,7.957
pH,7.96,7.96,7.96,NA,NA
pH,7.963,7.963,7.963,NA,7.963
pH,7.966,7.966,NA,NA,NA
pH,7.973,7.973,NA,NA,NA
pH,7.974,7.974,NA,NA,NA
pH,7.977,7.977,NA,NA,NA
pH,7.986,7.986,NA,NA,NA
pH,7.987,7.987,NA,NA,NA
pH,7.989,7.989,NA,NA,NA
pH,7.996,7.996,NA,NA,NA
pH,7.997,7.997,NA,NA,NA
pH,8.001,8.001,NA,NA,NA
pH,8.003,8.003,8.003,NA,NA
pH,8.005,8.005,8.005,NA,NA
pH,8.01,8.01,NA,NA,8.01
pH,8.022,8.022,NA,NA,NA
pH,8.023,8.023,NA,NA,8.023
pH,8.039,8.039,NA,8.039,NA
pH,8.04,8.04,NA,NA,NA
pH,8.045,8.045,NA,NA,NA
pH,8.052,8.052,NA,NA,NA
pH,8.053,8.053,NA,NA,NA
pH,8.077,8.077,8.077,NA,NA
pH,8.086,8.086,8.086,NA,NA
pH,8.087,8.087,NA,NA,NA
pH,8.088,8.088,8.088,NA,NA
pH,8.089,8.089,8.089,NA,NA
pH,8.091,8.091,NA,NA,NA
pH,8.097,8.097,NA,NA,NA
pH,8.112,8.112,NA,NA,NA
pH,8.113,8.113,NA,NA,NA
pH,8.118,8.118,NA,NA,NA
pH,8.139,8.139,NA,NA,NA
pH,8.141,8.141,NA,NA,NA
pH,8.152,8.152,NA,NA,NA
pH,8.165,8.165,NA,NA,NA
pH,8.169,8.169,NA,NA,NA
pH,8.17,8.17,NA,NA,NA
pH,8.171,8.171,NA,NA,NA
pH,8.199,8.199,NA,NA,NA
percent_sgd,0.133074935,0.133074935,NA,NA,NA
percent_sgd,0.149870801,0.149870801,NA,NA,NA
percent_sgd,0.180878553,0.180878553,NA,NA,NA
percent_sgd,0.186046512,0.186046512,NA,NA,NA
percent_sgd,0.188630491,0.188630491,NA,NA,NA
percent_sgd,0.195090439,0.195090439,NA,NA,NA
percent_sgd,0.198966408,0.198966408,NA,0.198966408,NA
percent_sgd,0.200258398,0.200258398,NA,NA,NA
percent_sgd,0.204134367,0.204134367,NA,NA,NA
percent_sgd,0.205426357,0.205426357,NA,NA,NA
percent_sgd,0.210594315,0.210594315,NA,0.210594315,NA
percent_sgd,0.211886305,0.211886305,NA,NA,NA
percent_sgd,0.213178295,0.213178295,NA,NA,NA
percent_sgd,0.214470284,0.214470284,NA,NA,NA
percent_sgd,0.217054264,0.217054264,NA,NA,NA
percent_sgd,0.218346253,0.218346253,NA,NA,NA
percent_sgd,0.220930233,0.220930233,NA,NA,NA
percent_sgd,0.222222222,0.222222222,NA,NA,NA
percent_sgd,0.226098191,0.226098191,NA,NA,NA
percent_sgd,0.227390181,0.227390181,NA,NA,NA
percent_sgd,0.22997416,0.22997416,NA,NA,NA
percent_sgd,0.23126615,0.23126615,NA,NA,NA
percent_sgd,0.233850129,0.233850129,NA,NA,NA
percent_sgd,0.235142119,0.235142119,NA,NA,NA
percent_sgd,0.240310078,0.240310078,NA,NA,NA
percent_sgd,0.241602067,0.241602067,NA,NA,NA
percent_sgd,0.242894057,0.242894057,NA,NA,NA
percent_sgd,0.245478036,0.245478036,NA,NA,NA
percent_sgd,0.246770026,0.246770026,NA,NA,NA
percent_sgd,0.248062016,0.248062016,NA,NA,NA
percent_sgd,0.249354005,0.249354005,NA,NA,NA
percent_sgd,0.258397933,0.258397933,NA,NA,NA
percent_sgd,0.262273902,0.262273902,NA,NA,NA
percent_sgd,0.263565891,0.263565891,NA,NA,NA
percent_sgd,0.264857881,0.264857881,NA,NA,NA
percent_sgd,0.26744186,0.26744186,NA,NA,NA
percent_sgd,0.272609819,0.272609819,NA,NA,NA
